spec_version,estimand,pheno_type,moderator,moderator_class,outcome,effect_scale,latitude,landscape_type,moderator_value,estimate,std_error,conf_low,conf_high,p_value
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,PA,0.125,-5.3998801064008735,0.3383181906248173,-6.062971575340272,-4.7367886374614745,2.390603181287979e-57
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,UA,0.125,-4.641073442288931,0.4156507472465673,-5.455733937039365,-3.826412947538498,5.994851709470808e-29
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,PA,0.1666666666666666,-5.288089601497199,0.3547515738339921,-5.983389909670725,-4.592789293323673,2.992071190093217e-50
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,UA,0.1666666666666666,-4.444337567253545,0.4558575768214802,-5.337801999903347,-3.5508731346037425,1.8556290142395825e-22
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,PA,0.2083333333333333,-5.16961301915946,0.3711566959189284,-5.897066775781444,-4.442159262537476,4.258821179901088e-44
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,UA,0.2083333333333333,-4.260406248119557,0.490147082188391,-5.2210768763361965,-3.299735619902916,3.5580839014670325e-18
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,PA,0.25,-5.042778840029142,0.3834387753786459,-5.794305030047431,-4.291252650010852,1.6692497934111705e-39
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,UA,0.25,-4.0924806238623175,0.5119498539446908,-5.095883899484452,-3.0890773482401825,1.3072610334889417e-15
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,PA,0.2916666666666666,-4.905915544747728,0.3883659145595185,-5.667098750107344,-4.144732339388112,1.4030168541472137e-36
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,UA,0.2916666666666666,-3.943761833457177,0.5164655088351748,-4.956015630031273,-2.931508036883081,2.239692383548252e-14
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,PA,0.3333333333333333,-4.757351613956703,0.3838223765946192,-5.509629648542727,-4.00507357937068,2.792938523603811e-35
