baseline,bh_family,block_degrees,bootstrap_se,cluster_excludes_zero,conf_high,conf_high_10,conf_high_5,conf_low,conf_low_10,conf_low_5,contrast,df_constraint,estimate,event_min_days,evidence_freeze_version,gap_days,latitude,n_blocks,n_blocks_10,n_blocks_5,p_value,p_value_bh,pheno_type,record_type,replicates,sign_stability,sign_stability_10,sign_stability_5,spatial_10_excludes_zero,spatial_5_excludes_zero,spatially_robust,spec_version,statistic,std_error,strategy,test
all_year_linear_loo,,,,,7.186242393420475,,,4.525679303263692,,,event_effect_UA,,5.855960848342083,3,,0,30.25,,,,6.251487177360961e-18,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.6787275457975158,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.0369577657476703,,,-1.7167305142204308,,,UA_minus_PA_event_effect,,0.1601136257636197,3,,0,30.25,,,,0.8672090792490433,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9575911367700416,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.087199205496407,,,4.286592165423445,,,event_effect_PA,,5.686895685459926,3,,0,30.5,,,,1.7234267846915109e-15,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7144536997015741,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.19481467188741,,,4.510588088385089,,,event_effect_UA,,5.852701380136249,3,,0,30.5,,,,1.2629527264805677e-17,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.6847642621688861,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.0489153681328025,,,-1.7173039787801565,,,UA_minus_PA_event_effect,,0.1658056946763229,3,,0,30.5,,,,0.8629873667257957,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9607878962624866,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.074190476102854,,,4.270084976620356,,,event_effect_PA,,5.672137726361605,3,,0,30.75,,,,2.2052536622076566e-15,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7153461802361992,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.202708535597601,,,4.490981050886658,,,event_effect_UA,,5.84684479324213,3,,0,30.75,,,,2.866354273143595e-17,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.6917799271059837,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.067584586574688,,,-1.718170452813638,,,UA_minus_PA_event_effect,,0.1747070668805249,3,,0,30.75,,,,0.856446891732535,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9657715828581236,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.057030127880537,,,4.245703312119062,,,event_effect_PA,,5.6513667199998,3,,0,31.0,,,,3.276653007083188e-15,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7171883866073213,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.208979605002073,,,4.467617730018954,,,event_effect_UA,,5.8382986675105135,3,,0,31.0,,,,6.925272621208364e-17,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.6993398594582941,overlap_weighted_adjusted,
