spec_version,gap_days,event_min_days,dose_metric,pheno_type,outcome,model_form,boundary_excluded,latitude,landscape_type,dose,reference_dose,estimate,std_error,conf_low,conf_high,p_value
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,2.75,1.0,0.9340533417047752,0.6681691239453674,-0.3755340768098243,2.243640760219374,0.1621342334036966
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,3.0,1.0,1.0745864365051112,0.7606086994139417,-0.4161792206740662,2.5653520936842886,0.1577151314494023
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,3.25,1.0,1.2179582925567305,0.8518485546319577,-0.4516341948044076,2.887550779917868,0.1527794072588331
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,3.5,1.0,1.3645237550160534,0.941742293671202,-0.4812572232976451,3.210304733329752,0.1473556215981116
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,3.75,1.0,1.5146376690394856,1.0301448696532145,-0.5044091743395231,3.5336845124184944,0.1414764038514718
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,4.0,1.0,1.668654879783439,1.1169127871741684,-0.5204539569501816,3.85776371651706,0.1351786203471535
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,4.25,1.0,1.826930232404333,1.2019043235529616,-0.528758954622448,4.182619419431115,0.1285035188450277
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,4.5,1.0,1.9898185720585653,1.2849797720066396,-0.5286955019369382,4.508332646054069,0.1214968328462777
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,4.75,1.0,2.1576747439025468,1.366001710280353,-0.5196394110670624,4.834988898872156,0.114208826271941
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,5.0,1.0,2.330853593092712,1.44483529875925,-0.5009715560675865,5.162678742253011,0.1066942558075154
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,5.25,1.0,2.5097099647854435,1.5213486126778168,-0.4720785239930536,5.49149845356394,0.0990122250267213
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,5.5,1.0,2.694598704137164,1.5954130137354954,-0.4323533432509139,5.821550751525241,0.0912259015993056
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,5.75,1.0,2.885874656304285,1.6669035672396963,-0.38119630118686,6.1529456137954295,0.0834020668992696
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,6.0,1.0,3.083892666443223,1.735699511852293,-0.318015864771024,6.485801197657469,0.0756104667665404
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,6.25,1.0,3.2890075797103755,1.8016847901342463,-0.2422297204463528,6.820244879867104,0.0679229338182449
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,6.5,1.0,3.501574241262162,1.8647486493907768,-0.15326595176347,7.156414434287794,0.0604122565107088
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,6.75,1.0,3.721947496254998,1.9247863238497491,-0.0505643764257595,7.494459368935756,0.0531507792120786
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,7.0,1.0,3.9504821898452818,1.981699810987393,0.0664219321401597,7.834542447550404,0.0462087319890715
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,7.25,1.0,4.18753316718945,2.0353987568852925,0.1982249095166794,8.176841424862221,0.0396523096361431
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,7.5,1.0,4.433455273443876,2.0858014678982677,0.3453595174624944,8.521551029425257,0.0335415472566347
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,7.75,1.0,4.6886033537649965,2.132836068665599,0.5083214742524245,8.868885233277569,0.027928074188936
