pheno_type,latitude_bin,longitude_bin,event_numerator,event_denominator,event_anomaly_sum,event_anomaly_n,latitude,longitude,event_frequency,mean_event_anomaly
EOS,27,36,20,42,-0.18583486361497362,0.05902345445184732,27.5,36.5,0.47619047619047616,-3.1484918214433204
EOS,27,55,14,30,70.30844464730623,3.8527410307803662,27.5,55.5,0.4666666666666667,18.24894123056731
EOS,27,56,15,53,-69.3461674925068,3.32192002145764,27.5,56.5,0.2830188679245283,-20.87532723382006
EOS,27,57,27,64,59.31342791167436,12.223140174080466,27.5,57.5,0.421875,4.852552377452912
EOS,27,66,34,117,-29.014441376227637,2.9536829629391748,27.5,66.5,0.2905982905982906,-9.823140039158337
EOS,27,68,116,263,-262.04301849168564,26.93959112786171,27.5,68.5,0.44106463878326996,-9.727059970879555
EOS,27,69,171,510,514.4431827677356,28.713891090912778,27.5,69.5,0.3352941176470588,17.916177962050707
EOS,27,70,22,35,-0.5884568526579396,0.10079774416862859,27.5,70.5,0.6285714285714286,-5.837996251914988
EOS,27,71,62,105,-1.4243714740903757,0.14964098267909853,27.5,71.5,0.5904761904761905,-9.518592090142215
EOS,27,73,43,93,-16.661828798778018,29.44016327193469,27.5,73.5,0.46236559139784944,-0.5659557199080394
EOS,27,74,43,73,-126.64627842288334,28.64310636760353,27.5,74.5,0.589041095890411,-4.421527358014675
EOS,27,76,1,2,8.102455515738843,0.17239267054763496,27.5,76.5,0.5,47.0
EOS,27,83,36,154,-39.958250499529925,6.706239616531862,27.5,83.5,0.23376623376623376,-5.958369039040447
EOS,27,84,520,1442,-27.9401941055086,62.95539281068305,27.5,84.5,0.3606102635228849,-0.44380938404322623
EOS,27,85,114,378,6.799787061879537,8.052009276737627,27.5,85.5,0.30158730158730157,0.8444832622739546
EOS,27,86,105,604,42.80494428181042,5.606769727549168,27.5,86.5,0.173841059602649,7.6345108434694575
EOS,27,87,393,1575,4.28841266021831,5.428797320600462,27.5,87.5,0.24952380952380954,0.7899378825481704
EOS,27,88,37,129,1.0629008690781045,0.4405546082202644,27.5,88.5,0.2868217054263566,2.4126427218000757
EOS,27,89,664,2912,-0.21323053380650725,0.5941757085134846,27.5,89.5,0.22802197802197802,-0.3588678075378911
EOS,27,90,920,3213,2.1100649937916125,1.7084510815827219,27.5,90.5,0.2863367569249922,1.2350748678369137
EOS,27,91,665,2332,1.7582397636076306,1.2865360106907124,27.5,91.5,0.2851629502572899,1.3666463658982004
EOS,27,92,24,124,0.039383380231077354,0.013530180798412436,27.5,92.5,0.1935483870967742,2.910780041882249
EOS,27,97,160,644,-1.7319584868692144,0.43767034462790305,27.5,97.5,0.2484472049689441,-3.957221475313079
EOS,27,98,128,553,2.474413171954186,0.7918780944835515,27.5,98.5,0.2314647377938517,3.124740018939346
EOS,27,99,11,48,18.00896647695979,9.225256613946742,27.5,99.5,0.22916666666666666,1.9521371849682574
EOS,27,102,7,15,-17.78365505150404,2.790096021744219,27.5,102.5,0.4666666666666667,-6.373850545970332
EOS,27,105,6,13,-1.1993937124590852,0.3221752420966717,27.5,105.5,0.46153846153846156,-3.722799134575325
EOS,27,109,51,107,-2.1903445396067553,0.4563854629571801,27.5,109.5,0.4766355140186916,-4.79933020963085
EOS,27,110,20,44,-0.7269962199837645,0.10075676933725675,27.5,110.5,0.45454545454545453,-7.215358578542114
EOS,27,111,8,15,0.32046757187852554,0.041766786817407975,27.5,111.5,0.5333333333333333,7.672784915907342
EOS,27,112,77,168,-0.6792674093161954,0.45158197499838826,27.5,112.5,0.4583333333333333,-1.5041951338261892
EOS,27,113,136,310,-0.637214042057089,0.7898706392697444,27.5,113.5,0.43870967741935485,-0.8067321538197819
EOS,27,114,50,104,-0.3050513639843241,0.39268183195511086,27.5,114.5,0.4807692307692308,-0.7768410432066941
EOS,27,115,17,37,-0.003746163746789694,0.0008332537418643815,27.5,115.5,0.4594594594594595,-4.495825891411852
EOS,27,116,43,91,-2.896276490158892,0.4623946097790188,27.5,116.5,0.4725274725274725,-6.263646740049674
EOS,27,117,261,1076,-182.6279163411519,22.894944122017982,27.5,117.5,0.2425650557620818,-7.976779299737155
EOS,27,118,81,224,-60.42827231720184,9.265315566397383,27.5,118.5,0.36160714285714285,-6.521987501036412
EOS,27,119,49,160,-42.31168376120214,10.735539091260353,27.5,119.5,0.30625,-3.941272385254269
EOS,27,120,25,163,-8.15837946528861,1.224284102821079,27.5,120.5,0.15337423312883436,-6.663795965731741
EOS,28,-110,88,301,-26.223038237974205,6.568705525075175,28.5,-109.5,0.292358803986711,-3.9921165803324845
EOS,28,-109,88,298,-58.69882915811508,9.614569412581274,28.5,-108.5,0.2953020134228188,-6.105195837611193
EOS,28,-107,55,164,31.661748970411118,35.72125934683222,28.5,-106.5,0.3353658536585366,0.8863558998016933
EOS,28,-106,33,96,107.19215828425305,20.79210865166566,28.5,-105.5,0.34375,5.155425074005944
EOS,28,-104,227,456,-21.56027941766063,16.80638979379406,28.5,-103.5,0.49780701754385964,-1.2828620353445566
EOS,28,-103,274,676,-7.603676970019524,2.4947872241895217,28.5,-102.5,0.40532544378698226,-3.0478258411354986
EOS,28,-101,131,343,-343.106528764315,27.03640319981978,28.5,-100.5,0.3819241982507289,-12.690538982885197
EOS,28,-100,10,46,-275.5446454970005,6.757717090300658,28.5,-99.5,0.21739130434782608,-40.774812235405555
EOS,28,-99,13,43,9.022578847351435,0.5953559753777983,28.5,-98.5,0.3023255813953488,15.154931201666242
EOS,28,-98,56,197,-40.853483798266026,1.7930283501363848,28.5,-97.5,0.28426395939086296,-22.784627914644265
EOS,28,-97,49,175,-14.023544354792534,0.6741112300040601,28.5,-96.5,0.28,-20.80301251576549
EOS,28,-96,9,55,-82.2725999572488,3.3092743313213777,28.5,-95.5,0.16363636363636364,-24.861220835807146
EOS,28,-83,420,1474,67.78469679359928,68.06706434675502,28.5,-82.5,0.28493894165535955,0.9958516272757516
EOS,28,-82,565,2147,-103.32483403854178,88.64954337045754,28.5,-81.5,0.2631578947368421,-1.1655427666080318
EOS,28,-81,29,334,40.12924487373946,5.426791758201023,28.5,-80.5,0.08682634730538923,7.39465353781002
EOS,28,-18,5,41,-0.15995420055718348,0.0010201172287604308,28.5,-17.5,0.12195121951219512,-156.79982265523319
EOS,28,-17,158,245,18.80821722928022,3.2667826457499496,28.5,-16.5,0.6448979591836734,5.757413109118085
EOS,28,-16,10,14,0.017794370425989775,0.036245753373392725,28.5,-15.5,0.7142857142857143,0.49093669657456374
EOS,28,30,2,5,-19.464570659058715,1.9963662214419196,28.5,30.5,0.4,-9.75
EOS,28,48,11,28,35.386901761314505,5.115244065796696,28.5,48.5,0.39285714285714285,6.917930270019876
EOS,28,52,8,28,-5.190796088338862,4.442035068687876,28.5,52.5,0.2857142857142857,-1.1685626088206822
EOS,28,53,40,134,-36.60536258321194,17.42621900099955,28.5,53.5,0.29850746268656714,-2.100591217240659
EOS,28,56,79,150,-6.609041477570479,1.3786768635663467,28.5,56.5,0.5266666666666666,-4.793756718651447
EOS,28,57,5,20,58.55553513642616,2.7170423662109062,28.5,57.5,0.25,21.55120430384959
